,time_start,time_end,model,launch_place,target,launched,destroyed,source,missed,year,month,attack_duration
0,2025-04-18 21:00:00,2025-04-19 09:00:00,X-31P,Crimea,Odesa oblast,3.0,0.0,kpszsu/posts/pfbid02WqsYVP7kqT45J5WNoPWTCwwERhQteTJinoerz7u4BeApwNDFoTrxDG5E3uqTTMixl,3.0,2025,4,0 days 12:00:00
1,2025-04-18 21:00:00,2025-04-19 09:00:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Millerovo and Hvardiiske, Crimea",Ukraine,87.0,33.0,kpszsu/posts/pfbid02WqsYVP7kqT45J5WNoPWTCwwERhQteTJinoerz7u4BeApwNDFoTrxDG5E3uqTTMixl,54.0,2025,4,0 days 12:00:00
2,2025-04-18 21:00:00,2025-04-19 09:00:00,P-800 Oniks,Crimea,Odesa oblast,2.0,0.0,kpszsu/posts/pfbid02WqsYVP7kqT45J5WNoPWTCwwERhQteTJinoerz7u4BeApwNDFoTrxDG5E3uqTTMixl,2.0,2025,4,0 days 12:00:00
3,2025-04-18 21:00:00,2025-04-19 09:00:00,Iskander-M,Crimea,Odesa oblast,3.0,0.0,kpszsu/posts/pfbid02WqsYVP7kqT45J5WNoPWTCwwERhQteTJinoerz7u4BeApwNDFoTrxDG5E3uqTTMixl,3.0,2025,4,0 days 12:00:00
4,2025-04-17 19:30:00,2025-04-18 09:30:00,Shahed-136/131,Kursk oblast and Millerovo,Ukraine,37.0,23.0,kpszsu/posts/pfbid02P8sfoPi1LryKn3TbhPPqPAp1af2Nb3dMLsP2voVT5XK8MKwERFgp4bHDZ3BpoBshl,14.0,2025,4,0 days 14:00:00
5,2025-04-17 19:30:00,2025-04-18 09:30:00,Iskander-M,Crimea,Mykolaiv oblast,1.0,0.0,kpszsu/posts/pfbid02P8sfoPi1LryKn3TbhPPqPAp1af2Nb3dMLsP2voVT5XK8MKwERFgp4bHDZ3BpoBshl,1.0,2025,4,0 days 14:00:00
6,2025-04-18 04:30:00,2025-04-18 05:30:00,Iskander-K,Crimea and Zaporizhzhia oblast,Dnipro and Kharkiv,5.0,3.0,kpszsu/posts/pfbid02P8sfoPi1LryKn3TbhPPqPAp1af2Nb3dMLsP2voVT5XK8MKwERFgp4bHDZ3BpoBshl,2.0,2025,4,0 days 01:00:00
7,2025-04-18 00:00:00,2025-04-18 00:00:00,Молнія,,south,3.0,3.0,PvKPivden/posts/pfbid024XfGMs4F2u2eu6Bw36NLpf74gswg624TbW6LN4jUKZSHj6rWTuM6wUhX4RhCj1Ysl,0.0,2025,4,0 days 00:00:00
8,2025-04-18 00:00:00,2025-04-18 00:00:00,Supercam,,south,1.0,1.0,PvKPivden/posts/pfbid024XfGMs4F2u2eu6Bw36NLpf74gswg624TbW6LN4jUKZSHj6rWTuM6wUhX4RhCj1Ysl,0.0,2025,4,0 days 00:00:00
9,2025-04-18 00:00:00,2025-04-18 00:00:00,Lancet,,south,1.0,1.0,PvKPivden/posts/pfbid024XfGMs4F2u2eu6Bw36NLpf74gswg624TbW6LN4jUKZSHj6rWTuM6wUhX4RhCj1Ysl,0.0,2025,4,0 days 00:00:00
